Date,Close,Volume,Open,High,Low
6/06/2022,714.84,28068170,733.06,734.6,703.05
6/03/2022,703.55,37464580,729.675,743.3899,700.2534
6/02/2022,775,31157710,732.47,792.63,726.2
6/01/2022,740.37,25749320,755.16,771.98,730.92
05/31/2022,758.26,33971460,773.84,778.8,734.23
05/27/2022,759.63,29764990,723.25,759.8,720.5311
05/26/2022,707.73,35334450,661.42,718.6699,653.66
05/25/2022,658.8,30713110,623.85,669.32,623.0101
05/24/2022,628.16,29697510,653.53,653.92,620.57
05/23/2022,674.9,29634550,655.02,679.9551,638.06
05/20/2022,663.9,48324440,713.99,721.582,633
05/19/2022,709.42,30098890,707,734,694.11
05/18/2022,709.81,29270600,744.52,760.5,700.81
05/17/2022,761.61,26745370,747.36,764.48,728.85
05/16/2022,724.37,28699510,767.16,769.76,719.0885
05/13/2022,769.59,30716910,773.48,787.3499,751.565
5/12/2022,728,46770950,701,759.66,680
5/11/2022,734,32408150,795,809.77,727.2
5/10/2022,800.04,28133880,819.31,825.36,774.25
5/09/2022,787.11,30270070,836.45,845.63,781.15
5/06/2022,865.65,24301040,887,888,843.105
5/05/2022,873.28,30839730,939.21,945.6,857.7
5/04/2022,952.62,27214570,903.94,955.5,885.28
5/03/2022,909.25,21236530,903.18,924.08,888.59
5/02/2022,902.94,25260460,860.77,906.3599,848.03
04/29/2022,870.76,29377670,902.25,934.3999,870
04/28/2022,877.51,41649510,899.98,900,821.7
04/27/2022,881.51,25652130,898.58,918,877.36
04/26/2022,876.42,45377890,995.43,1000,875
04/25/2022,998.02,22780450,978.97,1008.62,975.3
04/22/2022,1005.05,23232190,1014.91,1034.85,994.0001
04/21/2022,1008.78,35138780,1074.73,1092.22,996.415
04/20/2022,977.2,23570440,1030,1034,975.2501
04/19/2022,1028.15,16615940,1005.06,1034.94,995.325
04/18/2022,1004.29,17238410,989.03,1014.92,973.41
04/14/2022,985,19474140,999.29,1012.7099,982.19
04/13/2022,1022.37,18373740,981.075,1026.24,973.097
4/12/2022,986.95,21992030,997.64,1021.1921,976.6001
4/11/2022,975.93,19785740,980.4,1008.4681,974.64
4/08/2022,1025.49,18337900,1043.21,1048.44,1022.435
4/07/2022,1057.26,26482350,1052.39,1076.59,1021.5401
4/06/2022,1045.76,29782850,1073.47,1079,1027.7
4/05/2022,1091.26,26691670,1136.3,1152.87,1087.3
4/04/2022,1145.45,27392570,1089.38,1149.91,1072.53
4/01/2022,1084.59,18087740,1081.15,1094.75,1066.64
03/31/2022,1077.6,16330920,1094.57,1103.1399,1076.641
03/30/2022,1093.99,19955000,1091.17,1113.95,1084
03/29/2022,1099.57,24538270,1107.99,1114.77,1073.11
03/28/2022,1091.84,34168690,1065.1,1097.8799,1053.6
03/25/2022,1010.64,20677180,1008,1021.7999,997.3201
03/24/2022,1013.92,22973630,1009.73,1024.49,988.8
03/23/2022,999.11,40225380,979.94,1040.7,976.4
03/22/2022,993.98,35289520,930,997.86,921.75
03/21/2022,921.16,27327220,914.98,942.85,907.09
03/18/2022,905.39,33471400,874.49,907.85,867.39
03/17/2022,871.6,22194320,830.99,875,825.7178
03/16/2022,840.23,28009610,809,842,802.2601
03/15/2022,801.89,22280380,775.27,805.57,756.57
03/14/2022,766.37,23717420,780.61,800.7,756.04
3/11/2022,795.35,22345720,840.197,843.802,793.77
3/10/2022,838.3,19549550,851.45,854.45,810.3601
3/09/2022,858.97,19727990,839.48,860.56,832.01
3/08/2022,824.4,26799700,795.53,849.99,782.17
3/07/2022,804.58,24164720,856.3,866.14,804.57
3/04/2022,838.29,22393290,849.1,855.65,825.1609
3/03/2022,839.29,20541170,878.77,886.439,832.6001
3/02/2022,879.89,24881150,872.13,886.48,844.2721
3/01/2022,864.37,24922290,869.68,889.88,853.78
02/28/2022,870.43,33002290,815.01,876.86,814.7075
02/25/2022,809.87,25355920,809.23,819.5,782.4005
02/24/2022,800.77,45107430,700.39,802.48,700
02/23/2022,764.04,31752340,830.43,835.2997,760.56
02/22/2022,821.53,27762730,834.13,856.7338,801.1001
02/18/2022,856.98,22833950,886,886.87,837.61
02/17/2022,876.35,18392810,913.26,918.4999,874.1
02/16/2022,923.39,17098130,914.05,926.4299,901.21
02/15/2022,922.43,19216510,900,923,893.3774
02/14/2022,875.76,22585470,861.57,898.8799,853.15
2/11/2022,860,26548620,909.63,915.96,850.7
2/10/2022,904.55,22042280,908.37,943.81,896.7
2/09/2022,932,17419850,935,946.2699,920
2/08/2022,922,16909670,905.53,926.2899,894.8
2/07/2022,907.34,20331490,923.79,947.77,902.7089
2/04/2022,923.32,24541820,897.22,936.5,881.17
2/03/2022,891.14,26285190,882,937,880.52
2/02/2022,905.66,22264350,928.18,931.5,889.41
2/01/2022,931.25,24379450,935.21,943.7,905
01/31/2022,936.72,34812030,872.71,937.99,862.05
01/28/2022,846.35,44929650,831.56,857.5,792.01
01/27/2022,829.1,49036520,933.36,935.39,829
01/26/2022,937.41,34955760,952.43,987.69,906
01/25/2022,918.4,28865300,914.2,951.26,903.21
01/24/2022,930,50791710,904.76,933.5131,851.47
01/21/2022,943.9,34472010,996.34,1004.55,940.5
01/20/2022,996.27,23496250,1009.73,1041.66,994
01/19/2022,995.65,25147500,1041.705,1054.6699,995
01/18/2022,1030.51,22329800,1026.605,1070.7899,1016.06
01/14/2022,1049.61,24308140,1019.88,1052,1013.3788
01/13/2022,1031.56,32403260,1109.065,1115.6,1026.5391
1/12/2022,1106.22,27913010,1078.85,1114.84,1072.5901
1/11/2022,1064.4,22021070,1053.67,1075.85,1038.82
1/10/2022,1058.12,30604960,1000,1059.1,980
1/07/2022,1026.96,28054920,1080.37,1080.9299,1010
1/06/2022,1064.7,30112160,1077,1088,1020.5
1/05/2022,1088.12,26706600,1146.65,1170.34,1081.0101
1/04/2022,1149.59,33416090,1189.55,1208,1123.05
1/03/2022,1199.78,34895350,1147.75,1201.07,1136.04
12/31/2021,1056.78,13577880,1073.4444,1081.9999,1054.59
12/30/2021,1070.34,15680310,1061.33,1095.55,1053.15
12/29/2021,1086.19,18718020,1098.64,1104,1064.14
12/28/2021,1088.47,20107970,1109.49,1118.9999,1078.42
12/27/2021,1093.94,23715270,1073.67,1117,1070.7152
12/23/2021,1067,30904430,1006.8,1072.9767,997.56
12/22/2021,1008.87,31211360,965.66,1015.6599,957.05
12/21/2021,938.53,23839310,916.87,939.5,886.12
12/20/2021,899.94,18826670,910.7,921.6884,893.39
12/17/2021,932.57,33626750,914.77,960.6599,909.0401
12/16/2021,926.92,27590480,994.5,994.98,921.85
12/15/2021,975.99,25056410,953.21,978.7499,928.2501
12/14/2021,958.51,23602090,945,966.41,930
12/13/2021,966.41,26198500,1001.09,1005,951.42
12/10/2021,1017.03,19888120,1008.75,1020.9797,982.53
12/09/2021,1003.8,19812830,1060.64,1062.49,1002.36
12/08/2021,1068.96,13968790,1052.71,1072.38,1033.0001
12/07/2021,1051.75,18694860,1044.2,1057.6739,1026.81
12/06/2021,1009.01,27221040,1001.51,1021.64,950.5
12/03/2021,1014.97,30774000,1084.79,1090.5753,1000.21
12/02/2021,1084.6,24371620,1099.06,1113,1056.65
12/01/2021,1095,22934700,1160.695,1172.8399,1090.76
11/30/2021,1144.76,27092040,1144.37,1168,1118
11/29/2021,1136.99,19464470,1100.99,1142.67,1100.19
11/26/2021,1081.92,11680890,1099.47,1108.7827,1081
11/24/2021,1116,22560240,1080.39,1132.77,1062
11/23/2021,1109.03,36171700,1167.51,1180.4999,1062.7
11/22/2021,1156.87,33072510,1162.33,1201.95,1132.43
11/19/2021,1137.06,21642260,1098.87,1138.7199,1092.7
11/18/2021,1096.38,20898930,1106.55,1112,1075.02
11/17/2021,1089.01,31445370,1063.51,1119.64,1055.5
11/16/2021,1054.73,26542360,1003.31,1057.1999,1002.18
11/15/2021,1013.39,34775650,1017.63,1031.98,978.6
11/12/2021,1033.42,25573150,1047.5,1054.5,1019.2
11/11/2021,1063.51,22396570,1102.77,1104.97,1054.68
11/10/2021,1067.95,42802720,1010.41,1078.1,987.31
11/09/2021,1023.5,59105840,1173.6,1174.5,1011.52
11/08/2021,1162.94,33445720,1149.785,1197,1133
11/05/2021,1222.09,21628810,1228,1239.87,1208
11/04/2021,1229.91,25397410,1234.41,1243.49,1217
11/03/2021,1213.86,34628520,1177.33,1215.39,1152.62
